|Unnamed: 0|seller_nickname|products|stock|price|seller_reputation|Lt|condition|isrefu|category_id|regular_price1|pxp|mix|tokens|embedding|cluster
1035|1035|0615ef4e30|1|1|2500.0|light_green|DropShipping|used|not refubirshed|HEALTH|no|2500.0|reputation: light_green; products: 1; stock: 1; priceproduct: 2500.0; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: used; Categories: HEALTH; regularprice: no; Cluster:3|54|"[ 0.01481961 -0.00429769  0.00811103 ...  0.00241632  0.02155711
  0.01944622]"|3
1036|1036|0615fd904a|2|19|48898.0|green|Cross Docking|new|not refubirshed|SPORTS,AUDIO & GENERAL ELECTRONICS|no|2573.58|reputation: green; products: 2; stock: 19; priceproduct: 2573.58; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: SPORTS,AUDIO & GENERAL ELECTRONICS; regularprice: no; Cluster:1|62|"[-0.00065303  0.01343051  0.00388042 ... -0.00598998  0.03095496
  0.02996829]"|1
1037|1037|061c95477a|28|121|12733.9|green_platinum|FulfilledbyMerchant,Cross Docking|new|not refubirshed|ACC COMMERCIAL VEHICLES,ACC CARS & VANS,AUDIO & GENERAL ELECTRONICS,LIGHTING,OILS & FILTERS,ACC MOTORCYCLES|yes,no|105.24|reputation: green_platinum; products: 28; stock: 121; priceproduct: 105.24; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: ACC COMMERCIAL VEHICLES,ACC CARS & VANS,AUDIO & GENERAL ELECTRONICS,LIGHTING,OILS & FILTERS,ACC MOTORCYCLES; regularprice: yes,no; Cluster:0|96|"[ 0.01142056 -0.01999352 -0.00118556 ... -0.01532284  0.02413687
  0.02260006]"|0
1038|1038|061e3611e8|3|11|502.0|yellow|Cross Docking|new|not refubirshed|SMARTPHONES & TABLETS,AUDIO & GENERAL ELECTRONICS|no|45.64|reputation: yellow; products: 3; stock: 11; priceproduct: 45.64; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: SMARTPHONES & TABLETS,AUDIO & GENERAL ELECTRONICS; regularprice: no; Cluster:1|65|"[-0.02031436  0.00512447 -0.01598044 ...  0.00750318  0.0313115
  0.02253073]"|1
1039|1039|061f1abfca|1|1|799.0|green_silver|Cross Docking|new|not refubirshed|APPAREL ACCESSORIES|no|799.0|reputation: green_silver; products: 1; stock: 1; priceproduct: 799.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: APPAREL ACCESSORIES; regularprice: no; Cluster:1|59|"[ 0.01458053 -0.00404292  0.01044963 ... -0.01095452  0.03003313
  0.01669187]"|1
1040|1040|0622859c0a|13|41|10098.75|green_gold|Cross Docking|new|not refubirshed|BEAUTY PERSONAL CARE,HAIR|no|246.31|reputation: green_gold; products: 13; stock: 41; priceproduct: 246.31; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: BEAUTY PERSONAL CARE,HAIR; regularprice: no; Cluster:1|62|"[-0.00033683 -0.00294625  0.03864226 ... -0.00636211  0.02500118
  0.01543007]"|1
1041|1041|06254dccb7|2|594|644.05|green_gold|DropShipping|new|not refubirshed|APPAREL,AUDIO & GENERAL ELECTRONICS|no|1.08|reputation: green_gold; products: 2; stock: 594; priceproduct: 1.08; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; Categories: APPAREL,AUDIO & GENERAL ELECTRONICS; regularprice: no; Cluster:3|62|"[ 0.01595859 -0.00540819  0.01091242 ... -0.01210932  0.04243803
  0.01824894]"|3
1042|1042|0627db7e19|1|22|1199.0|green|Cross Docking|new|not refubirshed|BEAUTY PERSONAL CARE|no|54.5|reputation: green; products: 1; stock: 22; priceproduct: 54.5; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: BEAUTY PERSONAL CARE; regularprice: no; Cluster:1|58|"[ 0.0079626   0.00308856  0.02833119 ... -0.0091825   0.01657582
  0.01894168]"|1
1043|1043|06297987ec|1|3|3153.05|yellow|DropShipping|new|not refubirshed|HOUSEHOLD ITEMS|yes|1051.02|reputation: yellow; products: 1; stock: 3; priceproduct: 1051.02; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; Categories: HOUSEHOLD ITEMS; regularprice: yes; Cluster:3|56|"[ 0.0010541  -0.00901861 -0.00093386 ... -0.00363963  0.03098293
  0.00463948]"|3
1044|1044|06299a2d75|1|10|199.0|green|Cross Docking|new|not refubirshed|PET|no|19.9|reputation: green; products: 1; stock: 10; priceproduct: 19.9; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: PET; regularprice: no; Cluster:1|53|"[-0.00803625  0.01003086  0.02266339 ... -0.00609223  0.02903746
  0.01170026]"|1
