|Unnamed: 0|seller_nickname|products|stock|price|seller_reputation|Lt|condition|isrefu|category_id|regular_price1|pxp|mix|tokens|totalcat|embedding|cluster
1444|1444|084c634511|3|91|3560.0|green_silver|Cross Docking|new|not refubirshed|INDUSTRY,FOOTWEAR|no|39.12|reputation: green_silver; products: 3; stock: 91; priceproduct: 39.12; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: no; Cluster:1|57|2|"[-0.00432634 -0.01448645  0.02143572 ... -0.00239494  0.01487084
  0.02645548]"|1
1445|1445|084d42e5ec|1|9|4000.0|newbie|Cross Docking|new|not refubirshed|HOUSEHOLD APPLIANCES|no|444.44|reputation: newbie; products: 1; stock: 9; priceproduct: 444.44; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|55|1|"[-0.00888903 -0.00332776 -0.0058522  ...  0.0024625   0.02061595
  0.02058592]"|2
1446|1446|084e898f10|11|383|11070.99|green_platinum|FulfilledbyMerchant,Cross Docking|new|not refubirshed|STATIONERY,HOUSEHOLD APPLIANCES,TOOLS,INDUSTRY,ACC MOTORCYCLES|yes,no|28.91|reputation: green_platinum; products: 11; stock: 383; priceproduct: 28.91; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 5; regularprice: yes,no; Cluster:0|63|5|"[ 0.00542645 -0.01080727  0.01951545 ... -0.00569644  0.02187313
  0.01835943]"|0
1447|1447|084ed0a42b|2|3|1585.05|green_silver|Cross Docking|new|not refubirshed|TOYS AND GAMES,TEXTILES|yes,no|528.35|reputation: green_silver; products: 2; stock: 3; priceproduct: 528.35; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: yes,no; Cluster:1|58|2|"[-0.00532397 -0.01544966  0.01546469 ... -0.00738292  0.01641151
  0.0267213 ]"|1
1448|1448|084fd2cbf2|1|1|2300.0|newbie|Cross Docking|used|not refubirshed|IT PERIPHERALS, PARTS & ACCESSORIES|no|2300.0|reputation: newbie; products: 1; stock: 1; priceproduct: 2300.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; totalCategories: 2; regularprice: no; Cluster:2|56|2|"[-0.02044904 -0.00539249 -0.00128848 ...  0.00436625  0.01477632
  0.01392049]"|2
1449|1449|08512e9a84|14|20541|5012.09|green_gold|DropShipping|new|not refubirshed|IT PERIPHERALS, PARTS & ACCESSORIES,HAIR,PET,TOYS AND GAMES,SPORTS,BEAUTY PERSONAL CARE,APPAREL ACCESSORIES,HOUSEHOLD ITEMS,FOOTWEAR|yes,no|0.24|reputation: green_gold; products: 14; stock: 20541; priceproduct: 0.24; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 10; regularprice: yes,no; Cluster:3|57|10|"[ 0.00655856  0.00174479  0.01710734 ... -0.01364567  0.03460179
  0.00535256]"|3
1450|1450|08521a3530|1|0|366.0|green_silver|Cross Docking|new|not refubirshed|FOODS|no|inf|reputation: green_silver; products: 1; stock: 0; priceproduct: inf; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|54|1|"[-0.00490173 -0.0032672   0.01145103 ... -0.00531921  0.01350118
  0.02659979]"|1
1451|1451|085432c61f|1|1|2850.0|newbie|Cross Docking|used|not refubirshed|MUSICAL INSTRUMENTS|no|2850.0|reputation: newbie; products: 1; stock: 1; priceproduct: 2850.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; totalCategories: 1; regularprice: no; Cluster:2|56|1|"[-0.01761292 -0.00486593 -0.00481283 ...  0.00776728  0.01463192
  0.01008078]"|2
1452|1452|08567a4999|1|1|600.0|green|Cross Docking|used|not refubirshed|TOYS AND GAMES|no|600.0|reputation: green; products: 1; stock: 1; priceproduct: 600.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00796868 -0.00024504  0.02615285 ... -0.01113668  0.02528408
  0.01223761]"|1
1453|1453|085890379e|4|336|794.7|green_platinum|FulfilledbyMerchant|new|not refubirshed|HOUSEHOLD ITEMS,DECOR,HOUSEHOLD APPLIANCES,HABERDASHERY|yes|2.37|reputation: green_platinum; products: 4; stock: 336; priceproduct: 2.37; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 4; regularprice: yes; Cluster:0|58|4|"[ 0.00221747 -0.01282046  0.00409059 ... -0.00589559  0.02356724
  0.02436946]"|0
