seller_nickname,stock,price,regular_price,Products,total_amount,regular_total_amount,Kmeans,AgC
0304f3fb5e,1300,853.1800000000001,940.5400000000001,3,1109134.0,802449.9172000001,1,3
0305adeddd,6,216.05,748.24,1,1296.3000000000002,161657.252,1,3
0308f3156a,3,1292.0,1360.0,1,3876.0,1757120.0,1,3
0309c523df,30,239.44,318.0,1,7183.2,76141.92,1,3
0311c87237,5,116.55,259.0,1,582.75,30186.45,1,3
0315eafd6e,15,2293.3399999999997,2465.0,4,34400.1,5653083.1,1,3
031904ea04,143,1269.65,1925.6000000000001,5,181559.95,2444838.0400000005,1,3
031a8b8ed2,22,1500.3,3334.0,1,33006.6,5002000.2,1,3
031fefe4f4,99,268.81,517.22,1,26612.19,139033.9082,1,3
0320177b26,1802,608.31,1321.38,4,1096174.6199999999,803808.6677999999,1,3
032ebc1adf,52,108.87,129.61,1,5661.24,14110.640700000002,1,3
032f794748,6,995.17,1199.0,1,5971.0199999999995,1193208.8299999998,1,3
03315124b0,1,5319.05,5599.0,1,5319.05,29781360.95,1,1
03367ed9b9,200,706.34,788.64,2,141268.0,557047.9776,1,3
033dc577ba,15,155.73,207.64,1,2335.95,32335.777199999997,1,3
033e834557,1,561.6,780.0,1,561.6,438048.0,1,3
034083b64e,67,86.4,216.0,1,5788.8,18662.4,1,3
034afc2d48,154,693.92,775.0,3,106863.68,537788.0,1,3
034f1b3ee1,132,6153.15,6477.0,3,812215.7999999999,39853952.55,3,1
03586b9c81,100,3752.5,3950.0,1,375250.0,14822375.0,1,1
035e10f923,1724,2796.74,2983.98,6,4821579.76,8345416.225199999,1,1
03658a0dcb,38,228.01,297.45,2,8664.38,67821.57449999999,1,3
0368c9d7dd,28,96.71,215.12,1,2707.8799999999997,20804.2552,1,3
036d32eef1,568,5179.25,9236.43,13,2941814.0,47837780.0775,3,1
0376d546f6,8238,2833.4,3183.77,5,23341549.2,9020893.918,0,2
037c48321c,147,3208.37,3527.31,9,471630.38999999996,11316915.5847,3,1
038f278863,2,122.55,129.0,1,245.1,15808.949999999999,1,3
03974779e0,83,3299.77,3633.0,5,273880.91,11988064.41,1,1
039a58973a,506,399.2,499.0,1,201995.19999999998,199200.8,1,3
03a07c1c86,6,937.55,1255.0,3,5625.299999999999,1176625.25,1,3
03a89dcf06,15,1080.15,1137.0,3,16202.250000000002,1228130.55,1,3
03a951d0fa,17,907.8,990.0,2,15432.599999999999,898722.0,1,3
03a974d2a9,114,3377.22,3726.0,6,385003.07999999996,12583521.719999999,1,1
03b35c1bf3,176,994.1,1285.0,7,174961.6,1277418.5,1,3
03c4192293,65,897.52,1654.83,3,58338.799999999996,1485243.0215999999,1,3
03c91c5017,158,974.74,1619.0,3,154008.92,1578104.06,1,3
03cd0418cb,9,1090.0,1390.0,1,9810.0,1515100.0,1,3
03d71a9c2f,11,227.05,239.0,1,2497.55,54264.950000000004,1,3
03dc21d9b0,1,99.6,120.0,1,99.6,11952.0,1,3
03dd6fc244,1261,591.0,1018.0,2,745251.0,601638.0,1,3
03e09d473a,195,1382.15,1699.0,2,269519.25,2348272.85,1,3
03f33e1904,15,322.75,368.0,2,4841.25,118772.0,1,3
03f8570dab,1,608.0,640.0,1,608.0,389120.0,1,3
03f944c4bb,136,6254.6,10349.37,5,850625.6000000001,64731169.602000006,3,1
03f964250f,223,150.21,448.76,2,33496.83,67408.2396,1,3
0401acf21d,45,1431.01,2805.9,1,64395.45,4015270.9590000003,1,3
0403336807,6496,948.76,1173.99,5,6163144.96,1113834.7524,0,1
0406e77e47,2013,969.3,1077.0,2,1951200.9,1043936.1,1,1
0410023bc8,5620,2258.38,2391.19,4,12692095.600000001,5400215.672200001,0,1
04109ec9f6,6,435.0,500.0,1,2610.0,217500.0,1,3
0412a24c23,2300,791.64,860.48,2,1820772.0,681190.3872,1,1
0413a206fe,1833,1371.25,1650.6,16,2513501.25,2263385.25,3,1
041ac11336,168,57.42,99.0,1,9646.56,5684.58,1,3
041b60c12e,5,89.5,179.0,1,447.5,16020.5,1,3
041cfa8a55,11,227.05,239.0,1,2497.55,54264.950000000004,1,3
0421ad5ced,278,1243.95,1346.83,1,345818.10000000003,1675389.1785,1,3
042d3a0b02,4158,543.22,571.66,1,2258708.7600000002,310537.14519999997,1,1
0436cd06f8,22,857.34,1299.0,1,18861.48,1113684.6600000001,1,3
04395b69a8,345,824.25,1099.0,1,284366.25,905850.75,1,3
043a79c033,20,305.28,430.05,1,6105.599999999999,131285.664,1,3
043ce9ea40,69,665.0,700.0,1,45885.0,465500.0,1,3
043e25df7a,1603,1085.76,1457.0,3,1740473.28,1581952.32,1,3
043ec634da,1,5399.1,5999.0,1,5399.1,32389200.900000002,3,1
044356be0c,354,334.95000000000005,354.22,2,118572.30000000002,118645.98900000003,1,3
0443df34e0,22,395.89,649.0,1,8709.58,256932.61,1,3
04443fa8b1,469,2649.55,2789.0,6,1242638.9500000002,7389594.95,1,1
044bea95cc,15,6205.03,7229.0,3,93075.45,44856161.87,3,1
044c0787cb,24,188.56,224.47,1,4525.4400000000005,42326.0632,1,3
