,seller_nickname,stock,price,Products,total_amount,Kmeans,AgC
662,0421ad5ced,278,1243.95,1,345818.10000000003,0,3
663,04233b29bf,4,1400.0,1,5600.0,0,3
664,0425187fd2,7,988.0,2,6916.0,0,3
665,0425c24b42,78,400.0,2,31200.0,0,3
666,0426dc6cde,191,8794.0,7,1679654.0,1,3
667,042b7c815e,94,1947.0,3,183018.0,0,3
668,042d3a0b02,4158,543.22,1,2258708.7600000002,0,3
669,042d56457c,124,574.0,4,71176.0,0,3
670,042dc8b5f3,0,399.9,1,0.0,0,3
671,042ffd115b,1,1700.0,1,1700.0,0,3
672,0436cd06f8,22,857.34,1,18861.48,0,3
673,04385919e1,8972,695.0,1,6235540.0,3,0
674,04395b69a8,345,824.25,1,284366.25,0,3
675,043a5f15a5,4,6596.8,4,26387.2,0,3
676,043a79c033,20,305.28,1,6105.599999999999,0,3
677,043ce9ea40,69,665.0,1,45885.0,0,3
678,043da08262,142,508.0,2,72136.0,0,3
679,043e25df7a,1660,1982.76,6,3291381.6,1,3
680,043ec634da,1,5399.1,1,5399.1,0,3
681,043f23ec9e,25,7320.0,7,183000.0,0,3
682,044356be0c,440,533.95,3,234938.00000000003,0,3
683,0443df34e0,100,6794.889999999999,11,679489.0,1,0
684,04443fa8b1,829,5037.55,10,4176128.95,1,0
685,0444fdf73a,1,934.0,2,934.0,0,3
686,044594e8a3,29,349.0,1,10121.0,0,3
687,0446cc93d6,4,5026.0,4,20104.0,0,3
688,04480ba57a,1,2500.0,1,2500.0,0,3
689,0448106c3a,1,470.0,1,470.0,0,3
690,044823d6a1,19,1200.0,1,22800.0,0,3
691,044a8582e7,100,1330.0,1,133000.0,0,3
692,044bea95cc,36,37004.03,15,1332145.08,1,0
693,044c0787cb,24,188.56,1,4525.4400000000005,0,3
694,044c46a30d,1,2100.0,1,2100.0,0,3
695,044cceb003,11,2218.0,2,24398.0,0,3
696,044d39c74e,0,689.87,2,0.0,0,3
697,044d620ae6,19,480.0,1,9120.0,0,3
698,044e5fe25e,4,1056.0,2,4224.0,0,3
699,044fe2fbef,1,2600.0,1,2600.0,0,3
700,04506bb2ec,16,399.0,1,6384.0,0,3
701,04508b8e10,133,1976.8,2,262914.39999999997,0,3
702,04510cf557,236,4355.96,6,1028006.56,0,3
